sender,receiver,message
42,21,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,28,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,32,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,33,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,36,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,39,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,2,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,3,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,6,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,8,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,9,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,13,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,15,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,21,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,28,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,32,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,33,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,36,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,39,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,2,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,3,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,6,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,8,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,9,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,13,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,15,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,21,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,28,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,32,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,33,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,36,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,39,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,2,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,3,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,6,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,8,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,9,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,13,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,15,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,21,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,28,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,32,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,33,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,36,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,39,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,2,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,3,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,6,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,8,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,9,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,13,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,15,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,21,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,28,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,32,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,33,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,36,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,39,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,2,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,3,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,6,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,8,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,9,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,13,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,15,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,21,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,28,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,32,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,33,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,36,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,39,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,2,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,3,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,6,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,8,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,9,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,13,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,15,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,21,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,28,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,32,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,33,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,36,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,39,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,2,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,3,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,6,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,8,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,9,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,13,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,15,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,21,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,28,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,32,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,33,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,36,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,39,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,2,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,3,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,6,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,8,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,9,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,13,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,15,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,21,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,28,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,32,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,33,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,36,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,39,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,2,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,3,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,6,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,8,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,9,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,13,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,15,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,21,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,28,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,32,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,33,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,36,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,39,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,2,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,3,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,6,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,8,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,9,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,13,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,15,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,21,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,28,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,32,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,33,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,36,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,39,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,2,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,3,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,6,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,8,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,9,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,13,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,15,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,21,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,28,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,32,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,33,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,36,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,39,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,2,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,3,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,6,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,8,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,9,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,13,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,15,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,21,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,28,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,32,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,33,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,36,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,39,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,2,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,3,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,6,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,8,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,9,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,13,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,15,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,21,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,28,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,32,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,33,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,36,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,39,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,2,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,3,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,6,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,8,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,9,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,13,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,15,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,21,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,28,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,32,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,33,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,36,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,39,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,2,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,3,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,6,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,8,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,9,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,13,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,15,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,21,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,28,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,32,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,33,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,36,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,39,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,2,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,3,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,6,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,8,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,9,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,13,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,15,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,21,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,28,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,32,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,33,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,36,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,39,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,2,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,3,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,6,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,8,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,9,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,13,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,15,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,21,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,28,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,32,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,33,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,36,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,39,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,2,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,3,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,6,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,8,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,9,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,13,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,15,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,21,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,28,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,32,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,33,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,36,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,39,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
